it's suliban.	スリバン人です
this is real!	真実なの!
oh, my dear boy, no. okay.	これで僕の論文をホーキング博士に
so pimp my carroa is a large crowdfunded event	「ゴミ収集カート、改造大作戦?」は カタドールや彼らのカホッサを支援する
the third point, probably	3つ目のポイントは
for every hacker that's trying to steal your identity	個人情報を盗もうとするハッカーに対して
i wanted to draw the mountain into the west, into our country where we could surround him and kill him.	私はマウンテンを西に誘き寄せたかった 我が国に誘い込み包囲すれば殺せた
i know.	分かっていることといえば
who know that we are aboveaverage drivers	自分の運転は平均以上だ と思っていますから ー
sutton can be a dangerous enemy.	サットンは危険な敵だ
it's just a simple matter of political will to do it.	つまり単に政治的な意思の問題なのです
stardust dragon and red demon's dragon disappeared.	我が魂! レッド・デーモンズ・ドラゴン!
todd is right. forget cyril. he's harmless.	そうよ シリルは心配ないわよ
your name?	貴方のお名前は?
what was it, carl, was it one of those, if i can't have her, no one can?	それはどうでしょう もし彼女を射止められなければ...
oh, i get it all the time.	これが普通なの
i've a way out. interested?	出口を知ってる 興味ある?
i lost kantarosama	誰か来て! 勘太郎様が!!
i will be killed if i stay here!	ここにいたら殺される!
boss would you mind going back there? ok ok.	ボス そこに戻っていいですか? OK OK。
you're seeing this kind of approach	タイムズ・スクエアを塗装してから 同じようなアプローチが出てきました
they did.	そうよ
sukesan needs 5,466 more summer experience points.	すけさんは あと5466ポイントの ひと夏の経験が必要だ。
c'est lui pour moi. moi pour lui	♫彼は私のため、私は彼のため♫
it's correct?	撮影していると言っても いいでしょうか?
we should have come here sooner!	私たちもリングに上がったほうが いいでしょうか。
i'll be right back, okay?	ご案内いたします
and then you look at how much water input was put into them	どれだけの水が使われたか そして
are you with us ?	あなたは、我々の味方ですか?
yeah, i feel like i know sharon, too.	シャロンにも感じるが―
worrying the manager?	でも 店長さんは
so he's gonna be somewhere around the perimeter	だから、この辺にいるはずだ。
ahhh...at the ski training camp	あ~ スキー合宿の...。
or discreet elements.	考える必要が 無い事を意味しています
no, no. not me.	いやいや 僕はね
interesting and sustaining.	面白いと人気が長続きします
what do you want?	望みは何?
you're right.	ok トミー...あなたが正しいわ
that we keep being given	何度も、
we'll ask them.	彼らに頼むのさ
what is she doing?	ちょっと 何するのよ
the decline of ice on the field of education! ice. n oh yes.	教育の現場の退廃 氷! 氷。nあ~ はいはい。
captain.	船長
what is it?	何だろう?
is she breathing? eugene!	息はしてるのか?
his father had emigrated from italy and had stoked coal.	父親はイタリア移民 石炭をくべる
maester aemon awaits you in his chambers a raven from king's landing.	マイスター・エーモンが 執務室でお待ちです 鴉が キングズランディングから来ました
i'll do what you need!	何が望みだ? 私は何でもする。
there is no bad vegetation.	うん ないな ベジータは ないない。
given that microbes travel around with people	微生物が人々を介して 移動することを考えると
it cant be... bring the stretcher, well head there for the rescue!	そんな... 担架だ すぐ救出に向かう!
everyone and their mother's in the game right now.	今はみんな携帯を
twenty years ago, in 1960 our federal government payroll was less than $13 billion.	20年前の1960年.. 連邦政府の人件費は130億ドルでした
that i could keep him from dying ever.	私は彼を死から遠ざけておける と信じていたのです
grandma, i'm sorry.	ばあちゃん ごめん
works in the central shimin hospital now.	中央市民病院で バイトしてるのよ。
and drier, but montana agriculture depends especially on irrigation	モンタナの農業は殆ど 雪原からの灌漑に
yeah!	♪yeah!
kazuo, who is living as a student in tokyo came too.	〈東京で 学生生活をしている 一男お兄ちゃんも
you can call me claire. i'm rani.	クレアって呼んでね 私は ラーニ
and so they helped the just one.	彼らは正しい者を救った
same name of the actor in herbie, the love bug. he won't know who that is.	ディズニー野郎の名前を名乗れるか?
and finally, some people say, well, you know	そして最後に、自分が
actually, i'm close to your place right now.	いや 今 ちょっと 近く来てて。
kushinada nemuru, from my class.	僕のクラスの
well, i knew...	知り合いに・・・
the alignment of the worlds.	世界の配列
that's boring, shiraishi!	つまらんぞ白石!
crimes the government considered irrelevant.	政府は その犯罪に対処しない
yeah. yeah, well, most people collect for sentimental reasons.	たいていの人は 感傷的な理由のために コレクションをする
okay? everything is gonna be fine.	これで いこう すべて うまくいく
and i want to thank her today.	今日この場を借りて 彼女に感謝します
if you have the time to be joking around, hurry up and go take this!	そんな冗談言ってる暇があったら 早く持ってけ
so whatever you think you should do, do the opposite.	お前の意思とは逆の行動を 取らせる事もある
and it would go on the internet, and then people could make maps like that.	ネット上に上げるのです だから誰でも地図も作れるのです
you've been flying ever since with anyone who'd get in the plane.	あなたは飛行機に乗る人とは 誰とでも一緒に飛んだわ
well, why don't you sponsor us?	スポンサーになってよ
and when making connections is of the essence	そして 関わりあうことが極めて重要な場合
i went oldschool traced her movements on the ipad, based on the ridge detail left on the screen.	基本に戻って -- 画面に残った 彼女の動きを追った
ah. now he looks like somebody. people showing him respect.	皆が尊敬の念を 示しているような人物
also isn't this all over already?	それに もう全部 終わったんじゃないんですか?
you've got nothing to worry about. i've seen how you handle sharks.	君なら心配ない サメを処理した男だ
have you slept since you arrived?	到着してから眠った?
okay, well, full disclosure, it was actually my buddy's sister's bug.	本当の事を言うと 友人の妹のバグなんだ
we will.	また来ます
do you know what it's like trying to draw with somebody looking over your shoulder?	血を嗅ぎ分ける吸血鬼の勘が 下水道で見つけるわ 彼らが見落とすー
why the hell are you two here?	お前ら 何で ここに
watching him for 24 hours a day wasn't pointless after all.	えっ? この24時間の監視は→
wait and my father is here ...	待って 父がここに...
that he needed to stand up and be counted as someone who cares.	彼に必要なのは 立ち上がる事です 気にかける事を 重視してきた者として
yeah.	そうね その通り
10 million dollars producing an effect	一千万ドルも使って どこにでもあるあの
you're a honest girl, aren't you, sakurako?	律儀よね 桜子ちゃんって。
wrong!	それは...。 違う!
okay. well, ii got it.	それは私が
to fight! to fight!	戦い方も変わる。
that has not been released.	真新しい曲を用意しました
i guess we should...	もう...
wearing student clothing and holding a knife.	そっちが 学生服 着てるころから 包丁 握ってんだから。
my wife and son have just come. i've been here a while.	妻と息子は来たばかり 俺だけしばらく住んでいる
franco, thank you so much.	クリス:フランコ どうもありがとう
it's not?	日焼け止めを塗ってないの
your father gave me my own brand.	君のお父さんは私自身の商標をくれた
ah. he's about to make his move.	あっ。 パパ 投げるよ。
that was agua blanca pd. they found the victim's car.	アグアブランカ警察からだ 被害者の車を見つけた
i don't wash my hands after doing my business.	2つめは 便所に入っても 手を洗わんヤツ。
yeah, it was wiped clean.	ああ それはきれいに拭いた
i have to find a good job.	ちゃんと就職しなきゃ いけないことぐらい
lift that up and win my truck!	近くに寄ってください、 そしてトラックを手に入れて!
and in fact, a few years later in 2000	数年後の2000年には
all of it.	全てだ
they won't accept that i'm is.	親なのに 私がISだってこと 受け入れられない。
that we call hydras	HyDRASという名前です
i came back because laurel's in trouble.	彼女はまだ困ってる サラ
never mind! danzo comes first.	ネジ兄さん! いや待て それ以上近づくな。
horiike kiyomi's lost time has ended.	堀池 清美の ロスタイムが 終わりました。
and it brought me straight into the conservation fray.	ここから私の自然保護の戦いが始まりました
deep breaths.	深呼吸して
so without gps	gpsなしでは
who's next?	次は誰よ?
what do you mean?!	なんや それ? どういうことだい?
he's going to walk in, shake hands, and walk back. and that's it.	彼は歩いて行き 握手をして戻る
it would have been possible.	隆司だったかも しれないのにね~。
we need him here.	彼を必要としてるの
why, did one goat out on you?	山羊を見たのか?
wait!	待たせやがって
earning shit money, as i geare up to take my series 7.	クソ儲かる 米国証券資格を受ける準備をした
that's it...	そんなことはねぇ
completely reversed the ecological destruction.	生態系の破壊を逆転させた
barbie told me what you guys were into.	バービーから あなた達の事聞いた
ms. molinari of the ntsb.	国家運輸安全委員会のモリナーリさんだ
i am not a nice man.	僕は いい人間じゃない
we did a major operation for no reason.	理由もなく大手術した
ai are only born with objectives.	AIだけ目標と共に生まれてる
there are numerous inherited faults	原因となる
have closely related dna sequences	アフリカ内で見るDNA配列に
this is the police. open up.	警察です、開いてください。
do you understand immediate family? you want to question dr.	「直系家族」の意味が分かるか?
wait. you said candidates.	待って 候補者って言ってたわね
the headmaster is your advisor?	あれ? 学園長? うちの顧問なの。
and he's close, man. you gotta hide now!	近くまで来てる、隠れるんだ。
sixty bucks for gas, food, lodging, everything?	今後の経費に60ドル?
only,this time... you're gonna do it for me unofficially, under the radar,no paper trail...	ただ、 私の元でやってほしい 非公式に、目立たないように、跡のないように
it's okay.	怪しい者じゃない
they were thoughtful people, educated people, decent people.	思慮深い人たちで教育もありまともな人たちでした
you see, the first wave of managers	つまり 当初の幹部は
i was in the infirmary.	診療所にいた
18 years?	18年?
i always thought i'd have a grand story to tell.	歴史に名を残せると 思ってたんだ
do you want to take away both ? the violin and the family too, both ?	両方 とれると思ってた? バイオリンも家庭も 両方?
i thought things were going to be pretty tough at home.	うちって よそより 堅いぐらいだと思ってた。
if you don't get angry, i would like to talk about something.	もしも... もしもの話だから 怒らないで聞いてね。
i was relieved they did not.	口づけされなくてよかった
i will buy you a good home somewhere in the city.	都の何処かに立派な家を君に買う
how do you know that word?	どうやって知ったの?
now that's more impressive	言葉にもなりません
no matter whether i'm facing a giant elephant	目の前にいるのが 巨大なゾウであろうと
something was off.	ツキがなくて...
she lied to me..	彼女、俺に嘘をついていたんです。
i was so worried about you.	心配してたのよ
make it quick.	早く済ませよ。
a bomb?	ダメ!
i'm... i'm sorry.	済まなかった
i won't leave him!	わかったわ
everyone, report the situation!	みんな 現状を報告してくれ。
i can't have remy... look, it is remy.	レミーは私をよく知っている
stimulation for children that have psychological impairments.	心理学的障害のある 子供達に創りました
move to the other limo, i'll cover you.	乗り換えを! 援護します!
good morning, kenny.	おはようございます
you think they're abducting the girls to harvest their skin.	つまり、誘拐の目的は 生きた人間の皮を剥ぐ為だと?
and why do you think my son and mr. white would be in touch?	なぜ息子が 先生に連絡してると?
that degenerate out there! he replaced my girl, maria!	入るな変態 マリアを連れて来い!
i met my reserve, and there's still two minutes.	元は取ったけど まだ2分ある
we are trying to encourage people	みんなにも参加を促し
who's behind the camera flash?	カメラの明かりだ 後ろに誰がいる?
shooting star dragon, attack sleeping giant thud!	シューティング・スター・ドラゴン 眠れる巨人ズシンを攻撃!
i'm not sure it's that simple.	そう単純じゃない
grow up from that point in her life.	成長できなかったんでしょう
some small pennsylvania town.	列車が故障した
and i don't want to live in a world with no integrity.	こんな世界に住みたくない 誠実さもなしで
just tell us your damn theory.	ブライトアーチへ戻る間に 話すよ
on on what?	な... 何に?
how about your alibi from 4 pm to 6 pm?	夕方4時から6時のアリバイは?
next time.	またね
is that not how it works?	你打算把選稿工作全都扔給我做嗎
half coke, half tea?	紅茶とコーラを半分ずづ
keep it under 40 next time. have a good evening.	次回は40マイル以下に維持して 楽しい夜を
it's faint, but i can still sense them.	《かすかだが まだ感じるぜ。
of an adrian peterson bursting through the line	タックルする選手を 腕を張って押しのける
i'd like to talk to you about an opportunity.	ある機会について、お話をしたいのです
one day, i may be able to understand an incomprehensible person like you.	いつか 君みたいな不可解な人を 理解できるかもしれない。
it's strange to live off them.	やっぱ 食べるのって おかしいよ。
i've spent the last six months activating everything i can get my hands on.	イェーガー乗りを 捜して6ヶ月になる
oh, and i'm looking forward to having you in congress, oren.	君の当選が楽しみだ オーレン
half my team's been reassigned to this visitor task force.	チームの半分が ビジター特別対策本部へ異動 気掛かりなのは ビジターだけじゃ無い
what the hell you guys talking about?	おまえらは何のことを 言ってるんだ?
officer manzon, you'll be on the floor watching foot traffic at the v.i.p. room, in case the fuentes brothers roll through.	マンゾン捜査官はフロアーにて vipルームを監視していて フルエンテス兄弟が現れるはずよ
but i've seen you before?	前に会ったことあるよね ええ
this is on the street for a reason.	そのために路上に作ったんだからさ」
so, i know what you're thinking:	皆さんがどう思っているか分かりますよ
who asked you to do that? uh, you did.	誰がそんな事頼んだの?
but you drop 25 of those veterans in joplin, missouri	このような退役軍人を25人 ジョプリンに向かわせると
hey, you his trainer? no, i'm not.	トレーナーか?
i am not buying it. for your own sake, go home.	帰ったほうが身のためだ
i came here today because there have been reports of people seeing ufos with this mark.	ufoがこの印と一緒に目撃 されてると聞いたから
mrs hudson, why does sherlock think that i'll be moving back in here?	ハドソンさん シャーロックは何で 僕がここに戻ってくると?
our next technology comes to us from a company in japan	次にご紹介する技術は 日本の企業―
one bmw with 55rs registered to a donna o'hara.	""5 5 R S"のBMWは1台 登録はドナ・オハラ"
damn it, bill. please pick up.	お願いよ ビル 電話に出て
about fucking time.	いい頃合いだな
we'll come back for her just as soon as we can.	出来るだけ速く 彼女のもとに戻ろう
i kept calling you. didn't you hear me? you dropped this.	これ落としましたよ
depends on the decisions and wishes of fictional entities	架空の世界の決定や願いにかかっているのです
oh, you don't see anything.	あなたには 解らないでしょう
what in the...	んっ?
but stolen drug money's not gonna solve anyone's problems.	でも 盗まれた麻薬資金では 皆の問題を解決できないの
oh, are we doing conversation today?	今日は会話をするの?
then in principle, you should be able to tell	原則として それがどこから来たのか
it's a delicate process, and from all reports, this sounds like a particularly sensitive situation.	慎重に報告しなければならない、 今回は特に微妙な状況だと思われる。
am i not enough for him?	どうせさ 暇なんでしょ
so i picked these.	それでこれを選んだの
hey! who's a cat doll?!	猫咪老师 你干嘛跟来啊
ready for a show.	ショーの、準備ができています。
overblown claims of damage to national security	「国家の安全に関わる」という 誇張された話は
we don't think another wave is coming right away.	次の津波がすぐに来ることはないだろうから
doesn't this count as fraud?	これって 詐欺とかじゃ ないんですか?
the tyrant's eye is the strongest.	心配しなくても大丈夫デス 邪王真眼は最強デス
i heard about this individual from three people.	私はその人物の力を三人から聞いていた
you have five seconds to get out. what do you do?	あなたが逃げ出すのに時間が必要ね 貴女は何をするつもり?
okay! i'll do my best!	うん! お願い! はいっ! 頑張ります!
i have something to tell papa and mama, so...	あ 私ちょっとパパとママに用事があるので
i've protected other people's money, and i have nothing show for it. nothing.	他人の金を守っても 何も見返りもない
miss nude america is going to be on tonight.	ヌードのコンテストで
if i had got married to the one i loved	もしかしたら 自分が 好きだった人と結婚してたら
have been wiped out by dirty air coming over from asia.	アジアからの汚れた大気に押し流されているんです。
but he taught us so much.	たくさんのことを教えてくれた
to make room for the future.	ようこそ未来へ
that we, up to that point	機械や装置が
i understand.	分かった いってらっしゃい
tell him you want to go back to fox river.	フォックスリバーに戻りたいと言えばいい
never asked for help.	助けもいらねえと
from hollows is certainly important	ホロウから 現世を護ることも重要じゃが
how did i get here?	電話番号をどこで知ったかって?
which is that we'd like to think that the mistakes we make	間違いを犯す原因は 少しばかりの困った問題があったり
i've gotta go to him.	助けなきゃ
i also think we should not treat	私も ご遺体を見ましたが
and kissing her didn't work out, did it?	キスも無駄だった
going down your spinal cord	脊髄を伝わり末梢神経をとおって
this comes from the incense wood ranjatai	それは 蘭奢待なるものじゃ。
even beyond the domain explored so far.	既知のものだけという 仮定から始めました
so where do we go from here?	これから... どうなるんだ?
and they don't react to background sounds.	bgmには反応しません
so, two weeks ago, insects no more fumigated... this house on a hungarian oaklined street in woodley park.	2週間前だから 昆虫は ウッドリーパークの ハンガリー・オークの木の すぐそばの家です
right. limo back to the real world after the perfect date, huh?	リムジンで 現実世界へ戻すのね
the suspect may be fleeing in an fbi vehicle, so i need you to close down all access roads, and alert perimeter units and metro police.	容疑者はたぶんfbiの車で 逃走中だ 周辺の道路を封鎖し 全てのチームと警察に連絡してくれ
right, so he... he doesn't like blood, but still...	ええ、彼は血は好きじゃないかも、でも...
realized i was trapped.	はめられていたことに 気づきました
mr. portos, your intake is finished.	受け入れを完了する
he went that way.	あっちよ
we don't have to fear the rise of china	私たちは中国の台頭やアジアの復活を
do you wanna be an actress?	君は 女優になりたいの?
you're gay?	あー あなたは...
yeah, open the hatch so your crew...	開ければ良くなる?
20 minutes.	どの程度の
but that's pretty much it for formal requirements.	でも 形式上の要件は これだけです
i haven't dealt in anything as common as money in years.	俺は金は受け取ってない
it is our mission that nobody will be left behind	経済的理由で置き去りにされる人が 誰もいないようにするのが
there is a disorder of this shinobi world that produced that pane	そのペインを生み出した この忍の世の無秩序が
like dumping 200 million gallons of oil into the gulf of mexico	メキシコ湾に2億ガロンの石油を投棄したり
and you destroyed the pillar that was supporting akzeriuth.	そして アクゼリュスを支える柱を消してしまった
call the banners.	旗のもとに集めるのだ
the one and only aviating avatar, and a genius...	一加一卻不等於二的攻擊
that's amazing.	す すごい金額ですね
it's anger.	怒り
and if i get blocked	そして もし邪魔が入れば
acknowledge end of pattern.	パターン承認の終了か.
of course! so let's not become seniors like him.	そうよ! だから 彼みたいな先輩にならない様にしよう まぁ 私達には才能があるからそうはならないわね
i want to hang this star before the entertainment portion of our party.	パーティの余興が始まる前にね 今夜は 赤鼻のトナカイ を観る予定です
i'm zhao erdou	私は趙二斗です
what is it?	虚化? 何や? それ...。
you wouldn't believe me, even if i told you.	言っても信じないさ
well, when detective winters didn't pick up the officer was nice enough to let me make another call so i called george.	ウィンターズが捕まらず ジョージに電話させてくれたの
i thought it was important to emphasize that people were being helped	国際NGOや地元の草の根組織にかかわらず、彼らが患者を
cheers cheers. cheers.	おい 乾杯! 乾杯!
obviously, we've got a lot to figure out.	まだいろいろ解決しないと。
and after all, it has its own internal aesthetics.	結局 粘菌は自身の審美眼に従うのです
you don't have to. i'll take care of it.	君はしなくていい
the dr. wells?	あのウエルズ博士?
thirtysix now, and we have no clue where.	後、36時間だ だが、手掛かりが無い
and we need nine centimeters per second	地球型の惑星を見つけるには
what kind of modifications?	どんな改良ですか?
crow...! crow...!	クロウ...。
i had myself committed to a mental institution.	精神病院に入ると決めた
but it happened that night.	でも その夜のことです。
of course it was an accident.	もちろん事故だった
you bitch!	くそ女が!
yeah, i know.	分かってる
he might be back.	戻ったかも
he was respectable at the chairman's office but there..	立派な社長室 あるのに
you'll bring us your business plan, which eventually they did.	ビジネスプランを 持ってこさせました
he was determined to be a hero.	彼はヒーローに なろうとしたんだわ
and she said, but mom, you can't have kids.	すると彼女は「でもママ子供産めないじゃん」
please excuse us!	お~!n失礼しました~!
we will pin down the locations of the zombies!	オレ達は ゾンビを突き止める
or my boss will take the rap.	上司が言ってくれてますから 責任は取ってくれるって
hey, ron.	やぁ ロン
i don't care if it's a national project	でも いくら国家事業様ったって
i'll tell you one unconfirmed report.	1つ 未確認情報を教えてやる。
and carry out the work.	その仕事を遂行しなければいけませんでした
but i knew his name, abed	分かっていたのは アベッドという名前と
you fucked a congressman to get ahead.	出世のために寝た
after six months on antiretroviral treatment.	6ヶ月の抗レトロウイルス治療後です
tonight, i want to be with you.	今日は 今夜は 一緒にいたい
and he said, of course i will.	彼は言いました -- 「もちろんだとも
del rio.	デル・リオだ!
now, you can be forgiven, perhaps	結婚生活が破たんする前に
because there really needs to be a point to all this.	何か言いたい事が あるはずよ
it doesn't have anything to do with you.	お前に関係ねーだろッ
all of you, put your weapons down.	子供達に構わず だって
some fresh air.	新鮮な空気さ.
we call this project vocalid, or vocal i.d.	私たちは このプロジェクトを “vocalid”や“vocal i.d.”と
i can't do it.	書けない
so, you know, we now can learn the history of organisms.	まずは生物の歴史を知ることができます
it questions whether or not there really are any new frontiers out there	新天地は本当に無いのかどうか [科学における発見とは背びれに余分な棘がある グッピーを見つけるようなことだ]
how did bob taylor get those clothes?	少女達はまだ どこかに居るのか? どうやってボブ・テイラーは 服を手に入れた?
like what?!	でも 好きに なってた
surely his successor will continue	彼の後継者は 共同統治を継続するはず
witness, please continue.	証人は 続けてください
well, this is 2009.	今年は2009年ですね
ordinary phones, including a blackberry, that have wifi.	ブラックベリーやwi-fiの付いた 普通の電話の話です
but in life itself.	人生のことでもあります
my god.	なんて事
they will enable compelling new concepts	それは いかに私たちが都市をデザインし
what about this mother superior?	この修道院長はどうでしょう?
of the black fruit of the black, dilapidated black princess...	闇果実の黒い壊れかけの 黒い姫君...。
businesses collect lots of data, and they misuse it too	企業も多くのデータを集め 乱用しています
sorry i was late.	《待たせて ごめん》
no, just a little followup.	少し知識をお借り出来ます?
is because we're all worried about our privacy.	みんなプライバシーを 心配しているからです
[greenblue] fire.	発射!
run away!	なら どうして逃げなかった?
we didn't say anything because we figured it was nobody's business, but we gotta ask, were you with him that night?	言わなかったのは 奴と一緒だったかなんて ヤボな事 聞けないだろ?
it was simple.	単純だった
kurosawa worked here until about 6 months ago...	黒沢さんは 半年前まで こちらに 契約社員として
hey, you, get away from that crane right now!	お前! クレーンから 離れろ!
mother told them to us as children.	母上が子供の頃 聞かせてくれました
just a little bump on the head.	大丈夫 コブだけです
where are you?	頭が良かった?
so the major league baseball rules	メジャーリーグの
the floors been sanitized, too, so you'll get it dirty.	床 汚れるしn衛生面で問題あるから。
so if the location is hidden, the machine is safe.	つまり、ありかがわからない限り マシンは安全
good morning, young man.	話說得有點小孩子氣了
you're not listening to me.	聞いてないわね
even so, it's not a good reason to turn away.	だからって 目を背けていい理由にはならない。
that is our passion.	情熱であり
to react in an emergency.	咄嗟に反応できません
do you understand?!	《分かったかッ》
they come from friends and family.	友人や家族から得ているのです
so, good luck. we're counting on you.	頑張れ 期待してる
and it had to be run in a quite new way.	全く新しい行政が施行されました
he's not gonna like it, but that'll get us to 15.	彼は不満だろうが それで15日確保できる
go, or i'll cry. go.	泣きそうだから 行って
the night is young, but the book has been out	6カ月が経ちました
listen, sam, we shouldn't keep the axe outside.	サム 斧は外じゃダメだ
you used me to get ahead in your work.	私を利用したわ 仕事のチャンスを掴むために
my sons are trying to sleep...	子どもが寝てるんです。 オギャー オギャー。 つぐみちゃん?
near fort yates	フォートイエーツの近く
you don't know what shit i got either.	俺も汚いからな
some suggestions...	いくつかの提案だ
i thought that it would be easier for her to come if there would be other women here.	女性の方がいた方が 来やすいと思いまして
and i molded it and i cast it in resin	型を取り そこに樹脂を流し込みました
and i went to the it guys here	それで ここのitに詳しい人達のところへ行ったら
was because he was afraid...	その記憶を忘れることを
now, recently i've been told i've been taking the high road.	最近、あなたは崇高すぎる道を選んでいると言われてます
thank you for being by my side	ありがとう そばにいてくれて
now that i'm older. mother might just let me go.	私が大人になったら 母さんが行かせてくれるかな
what's he saying?	内容は?
so have the barbecue.	だからバーベキューをやれ
please, let us handle the media.	メディアのことは 我々に任せて欲しい
himuro has committed a serious crime!	氷室は 重大な罪を犯した!
we're going to have a green laser pointer	緑色のレーザーポインタです
i really related to what james was saying yesterday	ジェームズが昨日言ったように
you already apologized for that. i know, i was just...	それはもう謝罪したわ
there, too.	そこも貼れよ ここもだ
emily sontag.	エミリー・ソンタグだ
who's mummy?	ママって誰のことだ?
it wins or loses at that point.	その時点で勝敗が決まります
how are you getting along?	調子はどう?
think about what will happen to our commercial contracts if rumors start spreading from the police.	もし 警察沙汰にでもなってみろ。 CMはどうするんだ CMは。
hey, say thank you!	おっしゃ~!
i can no longer bear the pressure of the fact that i have a dead body here.	《もう限界だ。 死体を抱えている というプレッシャーに
who is ricardus?	リカルドゥスとは誰だ?
it makes me unpoko sad.	ウンポコ悲しい
the big house?	大きな家に?
old blue eyed lucy.	青い目のルーシー
i see.	ポテト見なかった?
in a series of response planning.	アメリカもソ連も 一連の報復計画を議論していました
and then we go home.	そして帰還だ
i didn't come because i wanted you to apologize.	べつに謝ってほしくて 来たわけではない。
the thing a warrior needs most isn't strength.	戦士にとって 最も大切なものは 力ではない。
we have received notification from academy's upper echelons to deal with the situation.	我々が この事態に 対処することになった
charlie kenton is in the house!	チャーリーがいるぜ!
but the higher the gap between r and g	資本収益率と経済成長率とが 乖離すればする程
40 years old, huh?	40歳か~ ほむッ!
you should be the one to deal with the kidnapper nobody's gonna take your phone.	あなたが誘拐犯と話すべきだわ もう誰もあなたの電話を 取り上げたりしないから
i lied too.	俺もだ
nobody believing us, plumbing the deep horizons of experience, having to search out the truth all on our own.	誰も信じてない 深い視野と経験 私たちが真実を追求する事
to the ultimate farflung corner on this planet, the sahara.	地球上で最も辺鄙な場所 サハラ砂漠に何度か出かけています
i have never met anyone more prone to lifethreatening idiocy.	こんなに生死に関わるバカなこと する人を見たことないわ。
it's too late. i'm already gone.	私はすでになくしてる
that's not the point.	マスコミは言いますけどね... そういう事じゃないんですよ。
the future and your body	体のことはもちろん 将来のことを考えると
what is cranny?	ずるいって何がだろう
what other crew?	別部隊?
court no matter what.	無実の人だけは 絶対に 裁判に かけちゃいけないんです。
so that's what it is...	忘れたの?好きってその程度
come join us someday at special olympics.	「いつか スペシャルオリンピックスに 来てください
hey, where do you think you're going?	銀さん! どこに...。
and weak! just like your mother.	母親そっくりね
but all this does, actually, is shut down your mind.	しかし 実際はこうなると心がシャットダウンされます
i got a colonel waiting on these guys. i got orders to get these guys back there.	オレたちが逮捕した 引き渡せ
time out!	いい頃間
i have a question for you. it's a simple question. you'll answer me, yes?	簡単な質問だ。 答えてくれるな?
you're here?	また、お会いしましたね?
this is not who you are.	君達は何者でもない
there has to be.	この事件と関係があるはずだ。
i mean those storage units have nothing to do with me.	倉庫の管理者では ないからな
one thing still doesn't make any sense.	1つ理解できない事が
look, i just want you to go back to being	戻って欲しいだけなんだ
i'm coming, margo. hang on!	マーゴ、今助けるぞ
i am a real esper and an alien.	本物の超能力者にして宇宙人だ
fucking ali. ali fucking baba.	うるさいなアリ アリババ
and she wants the infrastructure it is nice with a paved road.	彼女は社会基盤も望んでいます--道路が舗装されていると良いのです、
so how is the parallel world?	那麼 平行世界那邊怎樣了
i'm sorry it happened.	気の毒だった
well, investigative work like this merits at least some kind of an answer; it's not as if we can keep denying any knowledge of rourke.	こういう捜査の質問には 少なくとも 何らかの形で答えた方がいい ロークを知らないと 否定し続けられるわけでもあるまい
that's very kind of you...	あなた どういう反射神経してるの
i had to piss him off so he'd try and wipe me. otherwise he would have read me.	殴って ああでもさせなきゃ ヤツに心を読まれてた
i can do everything. it's just that...	別に問題はないんだ つまり...
there's water.	ソーダ水を
bithia!	ビトヤ!
do not touch this.	ここからは
yeah, all right.	分ったよ
a file, and then he printed it	ファイルをダウンロードし
we're outlaws. outlaws steal.	俺達は無法者だからな 無法者の盗人
brought us the electric refrigerator.	電気が電気冷蔵庫を もたらしたからです
measured many different ways.	成長を続けています
if only she'd been pressing flowers instead...	これが押し花だったらどんなに良かったか
oh, you apologized, but that didn't stop your plotting, did it?	謝りはしたが 嗅ぎまわるのは やめてないだろ
even though it was a little more! candy.	もう少しだったのに! キャンディ...。
getting paid is her forte.	稼ぐのは、彼女の得意です。
hmm? kobato wrote it? yes!	ん? こばとちゃんが書いたの? はい!
but, all of the maidens of the land are invited, by order of the king.	でもみんなが招待されたわ... ... 勅令で
instead, i...	代わりに 私が・・・
ii told you i had work to do.	今は仕事だ
get in there and get your dad.	お父さんを連れ出す
i'll come too!	私も行きます!
another shot?!	別の小隊を向かわせたほうが...。
i do not think	私が平和だと思うものは
this is... it's made from a buckthorn tree.	クロウメモドキって 木から 作られて いるんだ
i know, but up their hole anyway. we made it. we cracked the code.	俺たちだけで作った こいつはすごいぞ
and so, transportation is worth 20%?	運送に20%の価値があるのか?
so the wealth will be divided.	財産はその間で更に分与されます
and the winner of tonight's regional competition, defending their crown, ladies and gentlemen, the barden university treblemakers!	今夜の当選者 地方競技会 それらの王冠を防御する、女性、および紳士 Barden University Treblemakers!
the social progress index basically asks three fundamental questions	社会進歩指数は 基本的に 社会に関する3つの本質的な問いを
sleep tight.	いいから 良く寝ろ
i want to see her.	リンダに会いたい
that's other stuff.	それは別のことさ
the killer wanted gould to take his time, deciding which cut to make first.	どこの肉を切るか 決めさせた
the higgs boson does not share the beauty	ヒッグス粒子は 他の素粒子のように
but my research was never intended to be used as a weapon.	私の研究は武器を 目的としたものではない
grandpa looks at the fog every morning and decides.	毎朝じいちゃんが霧を見て決めるんだ
lot of cowboys down there, ben.	多くのカウボーイがいるぜ
what's there?	なぜ? 何があるの?
she's an old college professor of his.	彼が通ってた頃の大学教授よ
i waited for guys outside their home.	男の子を待ち伏せたり
stop, stop, stop. there you go. step away, step away.	よし、ストップ そこだ そこからどいて
